Performer,years_on_charts,url,WeekID,Week Position,Song,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,month,day,year,artist,gender
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1962-10-13,10/13/1962,76,409,409The Beach Boys,1,,76,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",1gWj5OlKlZmBvtkYxluZux,,Surfin' Safari (Remastered),0.0,120866.0,42.0,0.459,0.7,7.0,-4.751,1.0,0.0306,0.749,0.0,0.258,0.853,159.428,4.0,10,13,1962,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1978-09-09,9/9/1978,82,Peggy Sue,Peggy SueThe Beach Boys,1,,82,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",6CjId5Ur6jRP6ndGLy6vm2,,M.I.U. Album (Remastered),0.0,136466.0,13.0,0.646,0.768,2.0,-7.567,1.0,0.0303,0.168,1.05e-05,0.0906,0.963,126.515,4.0,9,9,1978,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1963-11-02,11/2/1963,83,Be True To Your School,Be True To Your SchoolThe Beach Boys,1,,83,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",37o6qDvBt3WBejQdFKNSui,,Little Deuce Coupe (Remastered),0.0,128693.0,30.0,0.528,0.722,10.0,-6.128,1.0,0.0344,0.501,6.02e-06,0.0705,0.86,138.648,4.0,11,2,1963,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1965-03-06,3/6/1965,83,Please Let Me Wonder,Please Let Me WonderThe Beach Boys,1,,83,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",0rttThNJX5cZLtQUASghA7,,The Beach Boys Today! (Remastered),0.0,167266.0,31.0,0.54,0.49,10.0,-8.141,1.0,0.0305,0.777,0.208,0.104,0.488,116.968,4.0,3,6,1965,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1964-02-15,2/15/1964,69,"Fun, Fun, Fun","Fun, Fun, FunThe Beach Boys",1,,69,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",5L0L3RyON6g8avnI20uubN,,Shut Down,0.0,138906.0,52.0,0.517,0.796,3.0,-6.313,1.0,0.0341,0.195,0.0,0.097,0.97,155.532,4.0,2,15,1964,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1964-05-23,5/23/1964,76,I Get Around,I Get AroundThe Beach Boys,1,,76,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",3v9xlH6BpmRbqL7hgNJhfT,,All Summer Long,0.0,134386.0,66.0,0.39,0.625,9.0,-7.813,0.0,0.0537,0.36,0.0,0.0663,0.514,144.338,4.0,5,23,1964,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1979-04-28,4/28/1979,76,Good Timin',Good Timin'The Beach Boys,1,,76,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",3BaQTu179aFf0Dqe7x25Ke,,The Very Best Of The Beach Boys: Sounds Of Summer,0.0,134373.0,26.0,0.568,0.431,11.0,-8.376,0.0,0.0272,0.485,0.000147,0.216,0.457,112.042,3.0,4,28,1979,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1963-08-17,8/17/1963,80,Little Deuce Coupe,Little Deuce CoupeThe Beach Boys,1,,80,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",75WMOzv7195ziyx0qEw1yE,,Surfer Girl (Remastered),0.0,100933.0,49.0,0.665,0.701,8.0,-6.607,1.0,0.0329,0.622,6.48e-05,0.141,0.977,133.853,1.0,8,17,1963,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1965-04-17,4/17/1965,80,"Help Me, Rhonda","Help Me, RhondaThe Beach Boys",1,,80,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",3haZcHm3HydDVxm3je3Zmg,,Summer Days (And Summer Nights,0.0,168240.0,53.0,0.544,0.748,1.0,-6.243,1.0,0.0298,0.311,0.000716,0.0633,0.825,139.739,4.0,4,17,1965,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1966-08-13,8/13/1966,81,God Only Knows,God Only KnowsThe Beach Boys,1,,81,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",6iGU74CwXuT4XVepjc9Emf,,Pet Sounds (Original Mono & Stereo Mix Versions),0.0,173040.0,72.0,0.521,0.487,6.0,-7.525,0.0,0.0299,0.253,0.0,0.0579,0.483,117.072,4.0,8,13,1966,,
The Beach Boys,22,http://www.billboard.com/charts/hot-100/1966-10-22,10/22/1966,81,Good Vibrations,Good VibrationsThe Beach Boys,1,,81,1,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",5t9KYe0Fhd5cW6UYT4qP8f,,Smiley Smile (Remastered),0.0,219026.0,71.0,0.396,0.473,10.0,-7.67,0.0,0.0345,0.326,0.000124,0.109,0.385,133.449,4.0,10,22,1966,,
